index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales
207,1971.0,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,,Intermediate,4.13,135978,genre fiction,1815.45
208,1982.0,Different Seasons,Stephen King,eng,Intermediate,4.34,105961,genre fiction,5000.45
209,1953.0,The Little House Collection,"Laura Ingalls Wilder, Garth Williams",,Intermediate,4.33,124320,genre fiction,5195.91
210,1998.0,The Girls' Guide to Hunting and Fishing,Melissa Bank,,Novice,3.29,113977,nonfiction,448.47
211,2012.0,Wool Omnibus,Hugh Howey,eng,Intermediate,4.24,81982,genre fiction,2250.49
212,2002.0,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,en-US,Intermediate,4.26,118576,genre fiction,4792.5
213,1997.0,The Power of Now,Eckhart Tolle,eng,Intermediate,4.1,104549,genre fiction,4771.2
214,2012.0,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,eng,Intermediate,3.9,118475,genre fiction,443.52
215,2006.0,The Lies of Locke Lamora,Scott Lynch,eng,Intermediate,4.3,118751,genre fiction,1324.57
216,1995.0,Sabriel,Garth Nix,en-US,Intermediate,4.17,137047,genre fiction,8811.18
217,2009.0,Dead and Gone,Charlaine Harris,eng,Intermediate,4.01,145157,genre fiction,2175.64
218,2013.0,The Storyteller,Jodi Picoult,eng,Intermediate,4.26,109313,genre fiction,430.65
219,2011.0,Obsidian,Jennifer L. Armentrout,eng,Intermediate,4.23,164832,genre fiction,5191.67
220,1982.0,"Life, the Universe and Everything",Douglas Adams,eng,Intermediate,4.19,131562,genre fiction,2593.67
221,2013.0,Crown of Midnight,Sarah J. Maas,en-CA,Famous,4.49,160485,genre fiction,426.69
222,2004.0,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,eng,Intermediate,4.18,126864,genre fiction,425.7
223,2008.0,Half Broke Horses: A True Life Novel,Jeannette Walls,eng,Intermediate,4.05,110597,genre fiction,5107.74
224,1987.0,Mort,Terry Pratchett,eng,Intermediate,4.22,128450,genre fiction,3821.22
225,2010.0,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,eng,Intermediate,3.92,158063,genre fiction,420.75
226,1985.0,Lonesome Dove,Larry McMurtry,en-US,Famous,4.47,111498,genre fiction,1687.77
227,2003.0,Stiff: The Curious Lives of Human Cadavers,Mary Roach,eng,Intermediate,4.05,122502,nonfiction,4473.0
228,2011.0,Bloodlines,Richelle Mead,en-US,Intermediate,4.22,140599,genre fiction,413.82
229,1998.0,Ender's Shadow,Orson Scott Card,eng,Intermediate,4.3,115521,nonfiction,411.84
230,2009.0,Twenties Girl,Sophie Kinsella,eng,Intermediate,3.82,119105,genre fiction,2070.85
231,1982.0,Schindler's Ark,Thomas Keneally,eng,Intermediate,4.34,108338,genre fiction,2537.9
232,1970.0,The Bluest Eye,Toni Morrison,eng,Intermediate,3.99,109944,genre fiction,1219.92
233,2009.0,The White Queen,Philippa Gregory,eng,Intermediate,3.9,119739,genre fiction,1685.04
234,1965.0,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",eng,Intermediate,4.29,124805,nonfiction,2025.94
235,1989.0,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",eng,Intermediate,4.3,122540,nonfiction,2251.8
236,1999.0,Seabiscuit,Laura Hillenbrand,en-US,Intermediate,4.2,111497,genre fiction,1007.5
